# Baram 뉴스 NNP 사전
# 출처: Baram 뉴스 크롤링 파이프라인 (CT250 PostgreSQL user_dictionary)
# 검증: LLM verified=true (Solar-Open2 / EXAONE 3.5)
# 형식: 표면형,좌ID,우ID,비용,품사,분류,종류,활용형,조합읽기,원형,읽기,타입
# 라이선스: CC-BY-SA 4.0
# 갱신: 2026-08-29 13:30 UTC
# 항목: 12945건 (verified=true, 길이≥2)
#
1%나눔,0,0,-4500,NNP,브랜드,*,*,1%나눔,1%나눔,1%나눔,*
10·26,0,0,-3500,NNP,기타,*,*,10·26,10·26,10·26,*
112,0,0,-3500,NNP,기타,*,*,112,112,112,*
113,0,0,-3500,NNP,기타,*,*,113,113,113,*
11번가,0,0,-5500,NNP,단체명,*,*,11번가,11번가,11번가,*
120분의 웃음,0,0,-3500,NNP,기타,*,*,120분의 웃음,120분의 웃음,120분의 웃음,*
12·3,0,0,-3500,NNP,기타,*,*,12·3,12·3,12·3,*
1784,0,0,-3500,NNP,기타,*,*,1784,1784,1784,*
179인전,0,0,-3500,NNP,기타,*,*,179인전,179인전,179인전,*
1·6 의사당 폭동,0,0,-3500,NNP,기타,*,*,1·6 의사당 폭동,1·6 의사당 폭동,1·6 의사당 폭동,*
1박2일,0,0,-4500,NNP,브랜드,*,*,1박2일,1박2일,1박2일,*
1인 항공기,0,0,-4500,NNP,브랜드,*,*,1인 항공기,1인 항공기,1인 항공기,*
1주년 특별공연,0,0,-3500,NNP,기타,*,*,1주년 특별공연,1주년 특별공연,1주년 특별공연,*
1호선,0,0,-5500,NNP,단체명,*,*,1호선,1호선,1호선,*
200㎜,0,0,-3500,NNP,기타,*,*,200㎜,200㎜,200㎜,*
2026,0,0,-3500,NNP,기타,*,*,2026,2026,2026,*
2026 A팜쇼,0,0,-3500,NNP,기타,*,*,2026 A팜쇼,2026 A팜쇼,2026 A팜쇼,*
2026 IDEA 디자인 어워드,0,0,-3500,NNP,기타,*,*,2026 IDEA 디자인 어워드,2026 IDEA 디자인 어워드,2026 IDEA 디자인 어워드,*
2026 R&D Job Fair,0,0,-3500,NNP,기타,*,*,2026 R&D Job Fair,2026 R&D Job Fair,2026 R&D Job Fair,*
2026 R&D 잡 페어,0,0,-3500,NNP,기타,*,*,2026 R&D 잡 페어,2026 R&D 잡 페어,2026 R&D 잡 페어,*
2026 TCR 월드투어,0,0,-3500,NNP,기타,*,*,2026 TCR 월드투어,2026 TCR 월드투어,2026 TCR 월드투어,*
2026 VCT 퍼시픽,0,0,-3500,NNP,기타,*,*,2026 VCT 퍼시픽,2026 VCT 퍼시픽,2026 VCT 퍼시픽,*
2026 강릉 세계총회,0,0,-3500,NNP,기타,*,*,2026 강릉 세계총회,2026 강릉 세계총회,2026 강릉 세계총회,*
2026 강원자치발전전략 대토론회,0,0,-3500,NNP,기타,*,*,2026 강원자치발전전략 대토론회,2026 강원자치발전전략 대토론회,2026 강원자치발전전략 대토론회,*
2026 게임스컴 어워드,0,0,-3500,NNP,기타,*,*,2026 게임스컴 어워드,2026 게임스컴 어워드,2026 게임스컴 어워드,*
2026 경북 백두대간 트레일6 챌린지,0,0,-3500,NNP,기타,*,*,2026 경북 백두대간 트레일6 챌린지,2026 경북 백두대간 트레일6 챌린지,2026 경북 백두대간 트레일6 챌린지,*
2026 경북농식품대전,0,0,-3500,NNP,기타,*,*,2026 경북농식품대전,2026 경북농식품대전,2026 경북농식품대전,*
2026 노원 탄소중립 구민선언,0,0,-3500,NNP,기타,*,*,2026 노원 탄소중립 구민선언,2026 노원 탄소중립 구민선언,2026 노원 탄소중립 구민선언,*
2026 대한민국 목재산업박람회,0,0,-3500,NNP,기타,*,*,2026 대한민국 목재산업박람회,2026 대한민국 목재산업박람회,2026 대한민국 목재산업박람회,*
2026 림팩,0,0,-3500,NNP,기타,*,*,2026 림팩,2026 림팩,2026 림팩,*
2026 무인이동체 X 민군협력 엑스포,0,0,-3500,NNP,기타,*,*,2026 무인이동체 X 민군협력 엑스포,2026 무인이동체 X 민군협력 엑스포,2026 무인이동체 X 민군협력 엑스포,*
2026 문학축전,0,0,-3500,NNP,기타,*,*,2026 문학축전,2026 문학축전,2026 문학축전,*
2026 미래작가상,0,0,-3500,NNP,기타,*,*,2026 미래작가상,2026 미래작가상,2026 미래작가상,*
2026 바이오 인터내셔널 컨벤션,0,0,-3500,NNP,기타,*,*,2026 바이오 인터내셔널 컨벤션,2026 바이오 인터내셔널 컨벤션,2026 바이오 인터내셔널 컨벤션,*
2026 바이크마스터즈,0,0,-3500,NNP,기타,*,*,2026 바이크마스터즈,2026 바이크마스터즈,2026 바이크마스터즈,*
2026 반려동물 숙박대전,0,0,-3500,NNP,기타,*,*,2026 반려동물 숙박대전,2026 반려동물 숙박대전,2026 반려동물 숙박대전,*
2026 발리볼네이션스리그,0,0,-3500,NNP,기타,*,*,2026 발리볼네이션스리그,2026 발리볼네이션스리그,2026 발리볼네이션스리그,*
2026 북중미 월드컵,0,0,-3500,NNP,기타,*,*,2026 북중미 월드컵,2026 북중미 월드컵,2026 북중미 월드컵,*
2026 서울관광 푸드 페스티벌,0,0,-3500,NNP,기타,*,*,2026 서울관광 푸드 페스티벌,2026 서울관광 푸드 페스티벌,2026 서울관광 푸드 페스티벌,*
2026 세계유산축전,0,0,-3500,NNP,기타,*,*,2026 세계유산축전,2026 세계유산축전,2026 세계유산축전,*
2026 세계증권포럼,0,0,-3500,NNP,기타,*,*,2026 세계증권포럼,2026 세계증권포럼,2026 세계증권포럼,*
2026 썸머 페스타,0,0,-3500,NNP,기타,*,*,2026 썸머 페스타,2026 썸머 페스타,2026 썸머 페스타,*
2026 원주 청년축제,0,0,-3500,NNP,기타,*,*,2026 원주 청년축제,2026 원주 청년축제,2026 원주 청년축제,*
